📡永久免费👉公告,#genre#
叠影重重全集,http://43.138.170.29:35455/yy/1382735570
美剧解说轮播,http://43.138.170.29:35455/douyu/9643264
经典美剧解说,http://43.138.170.29:35455/douyu/9123570
雪中悍刀行剧,http://cfss.cc/cdn/hy/11336592.m3u8#http://43.138.170.29:35455/yy/59719179
庆余年电视剧,http://cfss.cc/cdn/hy/11352960.m3u8#http://43.138.170.29:35455/douyu/11880121
琅琊榜电视剧,http://zby.xjqxz.top/lyb/live.m3u8
83射雕英雄传,http://43.138.170.29:35455/yy/1354210357
95神雕侠侣粤,http://43.138.170.29:35455/yy/1354926637
96笑傲江湖版,http://43.138.170.29:35455/yy/1354930909
87经典红楼梦,http://43.138.170.29:35455/yy/1382745084
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
仙剑奇侠传剧,http://43.138.170.29:35455/yy/1382749903
花千骨电视剧,http://43.138.170.29:35455/yy/1354943110
少年歌行剧集,http://43.138.170.29:35455/yy/1450556636
鹊刀门传奇剧,http://43.138.170.29:35455/yy/1355344777
甄嬛传电视剧,http://zby.xjqxz.top/live8/live.m3u8
卿卿日常轮播,http://zby.xjqxz.top/qqrc/live.m3u8
知否知否轮播,http://zby.xjqxz.top/zfzf/live.m3u8
开端电视轮播,http://cfss.cc/cdn/hy/11342397.m3u8
我的体育老师,http://43.138.170.29:35455/yy/1382745169
后厨电视轮播,http://43.138.170.29:35455/yy/1351059494
如果岁月轮播,http://43.138.170.29:35455/yy/1382736883
流金岁月轮播,http://43.138.170.29:35455/yy/1382749906
向风而行轮播,http://zby.xjqxz.top/xfex/live.m3u8
欢乐颂电视剧,http://43.138.170.29:35455/douyu/3756989
好先生电视剧,http://43.138.170.29:35455/douyu/9650792
我的前半生剧,http://43.138.170.29:35455/yy/1382735564
伪装者电视剧,http://43.138.170.29:35455/yy/1354936244
警察荣誉轮播,http://zby.xjqxz.top/live16/live.m3u8
雪豹电视轮播,http://43.138.170.29:35455/douyu/11863823
火蓝刀锋轮播,http://43.138.170.29:35455/yy/1382737892
二炮手电视剧,http://43.138.170.29:35455/yy/1354930964
炮神电视轮播,http://43.138.170.29:35455/yy/22089862
风筝电视轮播,http://43.138.170.29:35455/yy/1354931585
三部僵约轮播,http://43.138.170.29:35455/douyu/9470198
科幻Fans轮播,http://43.138.170.29:35455/douyu/3508304
科幻解说轮播,http://43.138.170.29:35455/douyu/9338839
科幻梦工场播,http://cfss.cc/cdn/hy/15152155.m3u8
笑声传奇轮播,http://43.138.170.29:35455/yy/1382736880
笑傲帮集轮播,http://43.138.170.29:35455/yy/1382735555
笑傲江湖一季,http://43.138.170.29:35455/yy/1382749896
笑傲江湖二季,http://43.138.170.29:35455/yy/1382736914
欢乐集结号播,http://43.138.170.29:35455/yy/1354931582
欢乐集结号三,http://43.138.170.29:35455/yy/1382736822
欢乐集结号四,http://43.138.170.29:35455/yy/1382736889
金星脱口秀播,http://43.138.170.29:35455/yy/1382735552
脱口秀大会播,http://cfss.cc/cdn/hy/11352875.m3u8
吐槽大会京都,http://43.138.170.29:35455/yy/1354936210
吐槽大会海天,http://43.138.170.29:35455/yy/1354932379
吐槽大会二季,http://43.138.170.29:35455/yy/1354936145
吐槽大会五季,http://43.138.170.29:35455/yy/1354889009
娱乐扒叔轮播,http://43.138.170.29:35455/douyu/9624581
粤语剧集轮播,http://43.138.170.29:35455/douyu/10338873
粤语港剧轮播,http://43.138.170.29:35455/douyu/6478650
粤语港剧回忆,http://43.138.170.29:35455/douyu/742565
粤语轮播港剧,http://43.138.170.29:35455/douyu/9019945
粤语轮播剧集,http://43.138.170.29:35455/douyu/10567318
粤语经典综艺,http://43.138.170.29:35455/douyu/7919720
粤语星爷电影,http://cfss.cc/cdn/hy/11336587.m3u8
粤语极清电影,https://tc2-pull.hxzxer.com/live/7765_1715833191.flv
粤语版电影一,http://43.138.170.29:35455/douyu/5033502
粤语版电影二,http://43.138.170.29:35455/douyu/6566671
粤语版电影三,http://43.138.170.29:35455/douyu/1226741

春风💖中国港澳,#genre#
凤凰中文频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192

凤凰资讯频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://103.95.24.37:880/fhzx.m3u8


香港無綫新聞,http://113.83.152.28:1935/bysid/83
*HOY資訊频道,http://113.83.152.28:1936/bysid/78
香港凤凰频道,http://113.83.152.28:1935/bysid/85
香港明珠频道,http://113.83.152.28:1935/bysid/2
*HOY國際频道,http://113.83.152.28:1936/bysid/76
*HOYTV频道台,http://113.83.152.28:1936/bysid/77
TVB香港台频道,http://113.83.152.28:1935/bysid/82

香港無綫新聞,http://zsntlqj.xicp.net:8896/bysid/83
香港凤凰频道,http://zsntlqj.xicp.net:8896/bysid/85
TVB香港台频道,http://zsntlqj.xicp.net:8896/bysid/82
香港明珠频道,http://zsntlqj.xicp.net:8896/bysid/83

香港無綫新聞,http://119.136.122.157:8001/bysid/83
香港凤凰频道,http://119.136.122.157:8001/bysid/85
香港翡翠频道,http://119.136.122.157:8000/bysid/1
香港明珠频道,http://119.136.122.157:8001/bysid/2
TVB香港台频道,http://119.136.122.157:8001/bysid/82
香港31台高清,http://119.136.122.157:8002/bysid/31
香港32台高清,http://119.136.122.157:8002/bysid/32
香港33台高清,http://119.136.122.157:8002/bysid/33
香港34台高清,http://119.136.122.157:8002/bysid/34
ViuTVsix频道,http://119.136.122.157:8000/bysid/96
ViuTV香港台,http://119.136.122.157:8000/bysid/99


香港無綫新聞,http://123.202.245.120:8008/bysid/83
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
香港凤凰频道,http://123.202.245.120:8008/bysid/85
香港凤凰频道,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
HOY 資訊频道,http://123.202.245.120:8009/bysid/78
國際財經频道,http://123.202.245.120:8009/bysid/76
HOY TV  频道,http://123.202.245.120:8009/bysid/77
香港明珠频道,http://123.202.245.120:8008/bysid/2
香港TVB Plus,http://123.202.245.120:8008/bysid/82
香港翡翠频道,http://zsntlqj.xicp.net:8895/bysid/1
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
欧洲华文频道,http://vvlive.eztv.vip/hwetnew/hwetnew.m3u8?auth_key=1710810771-0-0-c5ce71079eaa4d245127b05375ae371f
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php
4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K南国都市台,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
4K绚影频道台,http://118.114.96.20:8889/rtp/239.93.42.33:5140?Cf=cfss.cc
-8K北京纪实台,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
-8K北京纪实台,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
-4kCCTV16频道,https://tv.cry33.com/ys4k.php?id=16-4k
4K放大镜全网,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
4K咪咕台ipv6,http://[2409:8087:1a01:df::4001]/PLTV/88888888/224/3221225655/index.m3u8
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K「自然」台,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K测试频道台,http://tvbox.mohuajz.eu.org/tv/hnsqyx.php?id=52
4K河南卫视台,http://123.13.247.100:4000/rtp/225.1.4.254:1300

春风💖港澳闽,#genre#

TVB新闻台,http://live.cooltv.top/tv/tvb.php?id=0&hq
TVB财经台,http://live.cooltv.top/tv/tvb.php?id=2&hq
TVB翡翠台,http://120.238.13.198:8000/hls/21/index.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB娱乐台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB功夫台,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8

RTHK33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
天映频道台国,http://210.210.155.37/dr9445/h/h14/01.m3u8
凤凰资讯高清,http://113.64.145.84:8081/hls/36/index.m3u8
凤凰卫视高清,http://113.64.145.84:8081/hls/37/index.m3u8
凤凰香港高清,http://113.64.145.84:8081/hls/38/index.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
澳视莲花台,http://61.244.22.5/ch3/ch3.live/chunklist.m3u8
澳视澳门台,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳视卫星台,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳视综艺台,http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8
澳视葡文台,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳门卫视台,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳门体育台,http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8
澳门资讯台,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
耀才财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
亚洲新闻台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CGNTV台,http://live.cgtn.com/500/prog_index.m3u8#http://live.cgtn.com/1000/prog_index.m3u8
EZTV1台,http://vvlive.eztv.vip:80/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
EZTV2台,http://vvlive.eztv.vip:80/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
EZTV6台,http://vvlive.eztv.vip:80/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe
民视闽南台,rtmp://f13h.mine.nu/sat/tv051
中视闽南台,rtmp://f13h.mine.nu/sat/tv091
台视闽南台,rtmp://f13h.mine.nu/sat/tv071
华视闽南台,rtmp://f13h.mine.nu/sat/tv111
东森超视台,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来日本台,rtmp://f13h.mine.nu/sat/tv771
纬来育乐台,rtmp://f13h.mine.nu/sat/tv701
纬来体育台,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1台,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2台,rtmp://f13h.mine.nu/sat/tv741
经典功夫台,http://43.138.170.29:35455/yy/1355002394



春风🌏全球频道,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
中國環球,http://live.cgtn.com/500/prog_index.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
HBtv老挝,http://hikvision.city:880/HBTV.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
俄罗斯频,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
韩国国防,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
日语新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
环球频道,http://live.cgtn.com/500/prog_index.m3u8
NHK日本,http://180.167.104.105:9901/tsfile/live/1025_1.m3u8
KBS韩国,http://180.167.104.105:9901/tsfile/live/1026_1.m3u8
CAN亚洲,http://180.167.104.105:9901/tsfile/live/1030_1.m3u8
CNB亚太,http://180.167.104.105:9901/tsfile/live/1031_1.m3u8
CCtv英语,http://180.167.104.105:9901/tsfile/live/1037_1.m3u8
捷克频道,https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8
动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8


春风💖重温经典,#genre#

重温经典,http://mtw.so/5NPX0U
重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
封神榜86版,http://43.138.170.29:35455/yy/1353426319
射雕英雄传83版,http://43.138.170.29:35455/yy/1354210357
红楼梦87版,http://43.138.170.29:35455/yy/1382745084
三国演义94版,http://cfss.cc/cdn/hy/11602081.flv
新三国演义10版,http://43.138.170.29:35455/yy/23512910
新水浒传11版,http://cfss.cc/cdn/hy/11342384.flv
天龙八部黄日华版,http://43.138.170.29:35455/yy/1351814644
神雕侠侣古天乐版,http://cfss.cc/cdn/hy/23865171.flv
笑傲江湖吕颂贤版,http://cfss.cc/cdn/hy/23865142.flv
倚天屠龙记苏有朋版,http://43.138.170.29:35455/yy/1449856066
倚天屠龙记吴启华版,http://cfss.cc/cdn/hy/23734246.flv
鹿鼎记陈小春版,http://cfss.cc/cdn/hy/23865080.flv
铁齿铜牙纪晓岚,http://cfss.cc/cdn/hy/11342396.flv
康熙微服私访记,https://live.metshop.top/yy/1352811698
康熙王朝,http://cfss.cc/cdn/hy/11352940.flv
雍正王朝,http://cfss.cc/cdn/hy/11342439.flv
大汉天子,https://live.metshop.top/yy/1382736807
宰相刘罗锅,http://43.138.170.29:35455/yy/1382745191
神医喜来乐,http://43.138.170.29:35455/yy/1382714119
忠烈杨家将,https://live.metshop.top/yy/1382749909
少年歌行,http://43.138.170.29:35455/yy/1450556636
雪中悍刀行,http://43.138.170.29:35455/yy/1382660835
庆余年,http://cfss.cc/cdn/hy/11352960.flv
鹊刀门传奇,http://43.138.170.29:35455/yy/1355344777
花千骨,http://43.138.170.29:35455/yy/1354943110
知否知否应是绿肥红瘦,http://43.138.170.29:35455/yy/21881901
神探狄仁杰,http://43.138.170.29:35455/yy/1351755386
仙剑奇侠传,http://43.138.170.29:35455/yy/1382749903
武林外传,http://43.138.170.29:35455/yy/1355652820
宝莲灯前传,http://43.138.170.29:35455/yy/1354931631
西游记后传,http://43.138.170.29:35455/yy/1382736846
济公游记,http://43.138.170.29:35455/yy/1355265814
上海滩80版,http://43.138.170.29:35455/yy/1382745184
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
福贵,http://43.138.170.29:35455/yy/1354926537
金婚,http://43.138.170.29:35455/yy/1382736832
正阳门下,http://43.138.170.29:35455/yy/1354931580
黑冰,https://live.metshop.top/yy/1354932427
天道,https://live.metshop.top/yy/1382735574
血色浪漫,http://43.138.170.29:35455/yy/1354926676
父母爱情,https://live.metshop.top/yy/1354926650
情满四合院,http://43.138.170.29:35455/yy/1382736888
永远一家人,http://43.138.170.29:35455/yy/1382736873
爱情公寓,http://cfss.cc/cdn/hy/11336726.flv
我爱我家,https://live.metshop.top/yy/1382735557
家有儿女,http://cfss.cc/cdn/hy/11352872.flv
回家的诱惑,http://43.138.170.29:35455/yy/1354658048
粉红色女郎,http://43.138.170.29:35455/yy/1354888671
放羊的星星,http://43.138.170.29:35455/yy/1355260662
来自星星的你,http://43.138.170.29:35455/yy/1354930976
繁花,http://cfss.cc/cdn/hy/21059580.flv
大江大河,https://live.metshop.top/yy/1382736806
大江大河2,https://live.metshop.top/yy/1382736797
我的前半生,http://43.138.170.29:35455/yy/1382735564
小欢喜,https://live.metshop.top/yy/1382737888
欢乐颂,http://43.138.170.29:35455/douyu/3756989
好先生,http://43.138.170.29:35455/douyu/9650792
我的体育老师,http://43.138.170.29:35455/yy/1382745169
生逢灿烂的日子,http://43.138.170.29:35455/yy/1382745085
狂飙,http://43.138.170.29:35455/yy/1355142167
白夜追凶第一季,https://live.metshop.top/yy/1354932359
士兵突击,http://43.138.170.29:35455/yy/1382828766
火蓝刀锋,http://43.138.170.29:35455/yy/1382737892
我是特种兵,http://43.138.170.29:35455/yy/37999586
特种兵火凤凰,http://43.138.170.29:35455/yy/1463088777
地下交通站,http://43.138.170.29:35455/yy/37880083
小兵张嘎,http://43.138.170.29:35455/yy/1354930225
津门飞鹰,http://43.138.170.29:35455/yy/1354143942
五号特工组,http://43.138.170.29:35455/yy/1507704566
怪医文三块,http://43.138.170.29:35455/yy/1354936154
二炮手,http://43.138.170.29:35455/yy/1354930964
风筝,http://43.138.170.29:35455/yy/1354931585
伪装者,http://43.138.170.29:35455/yy/1382851593
叛逆者,https://live.metshop.top/yy/1382736868
鬼吹灯之怒晴湘西,http://cfss.cc/cdn/hy/11602075.flv
鬼吹灯之龙岭迷窟,http://cfss.cc/cdn/hy/29465863.flv
鬼吹灯之昆仑神宫,http://cfss.cc/cdn/hy/11601957.flv
鬼吹灯之云南虫谷,https://live.metshop.top/huya/11352898#http://cfss.cc/cdn/hy/11352898.flv
鬼吹灯之南海归墟,https://live.metshop.top/huya/11352883#http://cfss.cc/cdn/hy/11352883.flv
使徒行者,http://cfss.cc/cdn/hy/23734256.flv
飞虎之雷霆极战,https://live.metshop.top/yy/1382736869
飞虎之潜行极战,https://live.metshop.top/yy/1354932420
法证先锋Ⅰ,https://live.metshop.top/yy/1354930939
法证先锋Ⅱ,https://live.metshop.top/yy/1354888736
法证先锋Ⅲ,http://cfss.cc/cdn/hy/23863804.flv
法证先锋Ⅳ,http://cfss.cc/cdn/hy/23829543.flv
谈判专家,https://live.metshop.top/yy/1382735560
读心神探,https://live.metshop.top/yy/1382736875
心理追凶,https://live.metshop.top/yy/1354936207
机动部队,https://live.metshop.top/yy/1354932371
刑事侦缉档案,http://cfss.cc/cdn/hy/23734169.flv
鉴证实录,http://cfss.cc/cdn/hy/23903183.flv
扫黄先锋,http://cfss.cc/cdn/hy/23903196.flv
陀枪师姐,http://cfss.cc/cdn/hy/23860039.flv
创世纪,http://cfss.cc/cdn/hy/23749083.flv
流金岁月,http://43.138.170.29:35455/yy/1382736891
笑看风云,http://cfss.cc/cdn/hy/23865058.flv
大时代,http://cfss.cc/cdn/hy/23865161.flv
缺宅男女,https://live.metshop.top/yy/1382745088
男亲女爱,http://43.138.170.29:35455/yy/1382736715
溏心风暴之家好月圆,https://live.metshop.top/yy/1354888747
名媛望族,https://live.metshop.top/yy/1354932431
楚汉骄雄,http://cfss.cc/cdn/hy/23740156.flv
洗冤录,http://cfss.cc/cdn/hy/23903130.flv
金枝欲孽,http://cfss.cc/cdn/hy/23865036.flv
大唐双龙传,http://cfss.cc/cdn/hy/23728674.flv
金玉满堂,https://live.metshop.top/yy/1382736881
天下第一,https://live.metshop.top/yy/1382736838
公主嫁到,https://live.metshop.top/yy/1382736915
宫心计,https://live.metshop.top/yy/1354932429
寻秦记,http://43.138.170.29:35455/yy/1382749900
鹿鼎记梁朝伟版,http://cfss.cc/cdn/hy/23734183.flv
西游记张卫健版,http://43.138.170.29:35455/yy/1354936155


春风💖央视及卫视1,#genre#
CCTV1HD,http://1.203.76.226:7788/udp/225.1.8.1:8008
CCTV2HD,http://1.203.76.226:7788/udp/225.1.8.2:8084
CCTV3HD,http://1.203.76.226:7788/udp/225.1.8.88:8000
CCTV4HD,http://1.203.76.226:7788/udp/225.1.8.4:8092
CCTV5HD,http://1.203.76.226:7788/udp/225.1.8.89:8000
CCTV5+HD,http://1.203.76.226:7788/udp/225.1.8.20:8004
CCTV6HD,http://1.203.76.226:7788/udp/225.1.8.84:8000
CCTV7HD,http://1.203.76.226:7788/udp/225.1.8.7:8104
CCTV8HD,http://1.203.76.226:7788/udp/225.1.8.85:8000
CCTV9HD,http://1.203.76.226:7788/udp/225.1.8.9:8112
CCTV10HD,http://1.203.76.226:7788/udp/225.1.8.10:8116
CCTV11HD,http://1.203.76.226:7788/udp/225.1.8.73:8120
CCTV12HD,http://1.203.76.226:7788/udp/225.1.8.12:8124
CCTV13HD,http://1.203.76.226:7788/udp/225.1.8.168:8130
CCTV14HD,http://1.203.76.226:7788/udp/225.1.8.14:8132
CCTV15HD,http://1.203.76.226:7788/udp/225.1.8.74:8136
CCTV17HD,http://1.203.76.226:7788/udp/225.1.8.17:8144
CETV1,http://1.203.76.226:7788/udp/225.1.8.32:8152
北京卫视,http://1.203.76.226:7788/udp/225.1.8.21:8002
北京文艺,http://1.203.76.226:7788/udp/225.1.8.22:8002
北京科教,http://1.203.76.226:7788/udp/225.1.8.105:8002
北京影视,http://1.203.76.226:7788/udp/225.1.8.82:8000
北京财经,http://1.203.76.226:7788/udp/225.1.8.106:8002
北京冬奥纪实,http://1.203.76.226:7788/udp/225.1.8.23:8002
北京生活,http://1.203.76.226:7788/udp/225.1.8.108:8002
北京青年,http://1.203.76.226:7788/udp/225.1.8.118:8002
北京新闻,http://1.203.76.226:7788/udp/225.1.8.83:8000
北京卡酷少儿,http://1.203.76.226:7788/udp/225.1.8.35:8000
北京冬奥纪实 4K,http://1.203.76.226:7788/udp/225.1.8.120:8002
北京冬奥纪实 4K,http://1.203.76.226:7788/udp/225.1.8.164:8002
房山,http://1.203.76.226:7788/udp/225.1.8.68:8002
朝阳融媒,http://1.203.76.226:7788/udp/225.1.8.69:8002
密云,http://1.203.76.226:7788/udp/225.1.8.75:8002
湖南卫视,http://1.203.76.226:7788/udp/225.1.8.41:8012
黑龙江卫视,http://1.203.76.226:7788/udp/225.1.8.42:8016
深圳卫视,http://1.203.76.226:7788/udp/225.1.8.43:8020
江苏卫视,http://1.203.76.226:7788/udp/225.1.8.44:8028
东方卫视,http://1.203.76.226:7788/udp/225.1.8.45:8032
浙江卫视,http://1.203.76.226:7788/udp/225.1.8.46:8036
湖北卫视,http://1.203.76.226:7788/udp/225.1.8.47:8044
天津卫视,http://1.203.76.226:7788/udp/225.1.8.48:8044
广东卫视,http://1.203.76.226:7788/udp/225.1.8.49:8048
山东卫视,http://1.203.76.226:7788/udp/225.1.8.50:8052
辽宁卫视,http://1.203.76.226:7788/udp/225.1.8.51:8056
安徽卫视,http://1.203.76.226:7788/udp/225.1.8.52:8064
河北卫视,http://1.203.76.226:7788/udp/225.1.8.76:8002
贵州卫视,http://1.203.76.226:7788/udp/225.1.8.77:8076
东南卫视,http://1.203.76.226:7788/udp/225.1.8.79:8148
江西卫视,http://1.203.76.226:7788/udp/225.1.8.171:8166
重庆卫视,http://1.203.76.226:7788/udp/225.1.8.172:8162
金鹰纪实,http://1.203.76.226:7788/udp/225.1.8.31:8156
纪实人文,http://1.203.76.226:7788/udp/225.1.8.53:8060
快乐垂钓,http://1.203.76.226:7788/udp/225.1.8.71:8002
茶频道,http://1.203.76.226:7788/udp/225.1.8.72:8002
每日影院,http://1.203.76.226:7788/udp/225.1.8.97:8002
幸福剧场,http://1.203.76.226:7788/udp/225.1.8.98:8002
幸福娱乐,http://1.203.76.226:7788/udp/225.1.8.99:8002
风尚生活,http://1.203.76.226:7788/udp/225.1.8.103:8002
中国足协杯,http://1.203.76.226:7788/udp/225.1.8.40:8184
体育赛事,http://1.203.76.226:7788/udp/225.1.8.81:8176
爱上4K,http://1.203.76.226:7788/udp/225.1.8.80:2000
北京IPTV淘精彩,http://1.203.76.226:7788/udp/225.1.8.33:8002
北京IPTV淘BABY,http://1.203.76.226:7788/udp/225.1.8.36:8002
北京IPTV淘剧场,http://1.203.76.226:7788/udp/225.1.8.37:8002
北京IPTV淘电影,http://1.203.76.226:7788/udp/225.1.8.38:8002
